CADASTRO DE FUNCIONARIOS;;;;
QTD;NOME;FUNCAO;EMAIL;CONTATO
1;RAULEI;TECNICO;RAULEICAMPOS.01@GMAIL.COM;958485852
2;PATRICIA;TECNICO;PATRICIACAMPOS.01@GMAIL.COM;958475621
3;LUCCA;PRODUCAO;LUCCA.01@GMAIL.COM;958475624
4;JOSE;PRODUCAO;JOSE.01@GMAIL.COM;985746258
5;ANTONIO;TRANSPORTE;ANTONIO.01@GMAIL.COM;985468512
6;SUELI;ESCRIVAO;SUELI.01@GMAIL.COM;985478515
7;ERICK;TECNICO;ERICK.01@GMAIL.COM;985471364
8;ROSEANE;RH;ROSEANE.01@GMAIL.COM;956478512
9;THEO;ANALISTA;THEO.01@GMAIL.COM;985478514
10;MARIA;PRODUCAO;MARIA.01@GMAIL.COM;985647820
